iter	Passed	Remaining
399	36971	147886
400	37057	147766
401	37152	147687
402	37245	147595
403	37333	147485
404	37425	147390
405	37517	147299
406	37611	147212
407	37705	147123
408	37795	147022
409	37886	146925
410	37981	146841
411	38069	146735
412	38154	146614
413	38246	146520
414	38332	146402
415	38424	146310
416	38507	146181
417	38598	146084
418	38686	145972
419	38781	145891
420	38875	145805
421	38970	145725
422	39062	145630
423	39145	145503
424	39243	145430
425	39339	145353
426	39434	145270
427	39527	145180
428	39618	145083
429	39711	144993
430	39805	144907
431	39890	144788
432	39969	144646
433	40062	144557
434	40158	144477
435	40250	144384
436	40343	144294
437	40434	144198
438	40526	144103
439	40612	143990
440	40700	143882
441	40793	143794
442	40878	143673
443	40971	143584
444	41059	143476
445	41141	143350
446	41235	143262
447	41333	143190
448	41425	143096
449	41516	143001
450	41604	142894
451	41704	142828
452	41799	142745
453	41897	142673
454	41991	142586
455	42087	142508
456	42180	142418
457	42266	142304
458	42360	142217
459	42457	142141
460	42548	142045
461	42640	141949
462	42730	141851
463	42830	141784
464	42916	141669
465	43011	141587
466	43084	141429
467	43178	141346
468	43276	141272
469	43373	141193
470	43459	141081
471	43553	140994
472	43648	140912
473	43742	140825
474	43840	140750
475	43934	140664
476	44031	140588
477	44116	140470
478	44205	140367
479	44301	140286
480	44394	140196
481	44494	140130
482	44591	140053
483	44681	139951
484	44765	139835
485	44855	139736
486	44943	139630
487	45029	139518
488	45124	139434
489	45213	139330
490	45311	139255
491	45405	139170
492	45501	139087
493	45596	139005
494	45696	138935
495	45783	138826
496	45875	138735
497	45966	138638
498	46063	138558
499	46152	138457
500	46245	138368
501	46337	138273
502	46432	138189
503	46525	138100
504	46621	138017
505	46719	137941
506	46813	137854
507	46900	137747
508	46993	137655
509	47085	137564
510	47180	137479
511	47268	137374
512	47360	137280
513	47453	137191
514	47549	137109
515	47641	137016
516	47731	136915
517	47824	136825
518	47917	136736
519	48006	136633
520	48104	136557
521	48202	136481
522	48300	136404
523	48398	136328
524	48495	136250
525	48596	136179
526	48682	136069
527	48777	135984
528	48873	135904
529	48969	135822
530	49066	135741
531	49161	135654
532	49258	135577
533	49354	135494
534	49452	135417
535	49549	135337
536	49638	135235
537	49733	135148
538	49812	135020
539	49906	134933
540	49998	134838
541	50094	134757
542	50186	134662
543	50277	134565
544	50367	134466
545	50462	134381
546	50545	134263
547	50641	134180
548	50737	134099
549	50833	134016
550	50930	133934
551	51017	133827
552	51100	133712
553	51195	133627
554	51294	133550
555	51382	133447
556	51479	133365
557	51572	133275
558	51666	133185
559	51757	133091
560	51855	133013
561	51950	132926
562	52036	132818
563	52126	132718
564	52211	132608
565	52287	132474
566	52368	132353
567	52459	132257
568	52557	132178
569	52645	132076
570	52743	131998
571	52824	131877
572	52916	131783
573	53008	131689
574	53098	131590
575	53191	131500
576	53284	131409
577	53377	131318
578	53475	131242
579	53568	131150
580	53664	131066
581	53760	130983
582	53854	130895
583	53949	130809
584	54039	130711
585	54137	130631
586	54231	130543
587	54325	130456
588	54416	130358
589	54508	130267
590	54590	130150
591	54677	130043
592	54768	129948
593	54867	129870
594	54960	129781
595	55046	129673
596	55140	129583
597	55231	129489
598	55326	129403
599	55421	129315
600	55511	129219
601	55607	129134
602	55699	129041
603	55794	128955
604	55890	128871
605	55977	128765
606	56069	128673
607	56150	128555
608	56244	128466
609	56340	128382
610	56434	128294
611	56531	128212
612	56624	128120
613	56722	128042
614	56818	127956
615	56906	127853
616	56998	127760
617	57094	127677
618	57189	127591
619	57289	127514
620	57369	127396
621	57463	127306
622	57557	127218
623	57652	127131
624	57746	127042
625	57842	126958
626	57935	126866
627	58024	126766
628	58114	126669
629	58203	126568
630	58294	126475
631	58390	126389
632	58480	126291
633	58570	126194
634	58662	126101
635	58762	126025
636	58848	125919
637	58939	125823
638	59034	125736
639	59131	125654
640	59221	125556
641	59315	125467
642	59405	125370
643	59501	125286
